Date,Median wait (weeks),92nd percentile (weeks),No. within 18 weeks,% within 18 weeks,No. > 18 weeks,No. > 52 weeks,% > 52 weeks,Total waiting (mil),No. of new RTT periods,ENGLAND COVID-19 related beds,East of England COVID-19 related beds,London COVID-19 related beds,Midlands COVID-19 related beds,North East and Yorkshire COVID-19 related beds,North West COVID-19 related beds,South East COVID-19 related beds,South West COVID-19 related beds,ENGLAND COVID-19 related absences of staff,East of England COVID-19 related absences of staff,London COVID-19 related absences of staff,Midlands COVID-19 related absences of staff,North East and Yorkshire COVID-19 related absences of staff,North West COVID-19 related absences of staff,South East COVID-19 related absences of staff,South West COVID-19 related absences of staff
31/08/2007,14.3,52+,"2,395,656",57.20%,"1,791,318","578,682",13.80%,4.19,-,,,,,,,,,,,,,,,,
30/09/2007,13.4,52+,"2,364,349",59.10%,"1,633,202","401,725",10.00%,4,-,,,,,,,,,,,,,,,,
31/10/2007,13.2,52+,"2,337,604",59.30%,"1,602,217","387,161",9.80%,3.94,-,,,,,,,,,,,,,,,,
30/11/2007,13.3,52+,"2,269,968",57.90%,"1,651,994","415,215",10.60%,3.92,-,,,,,,,,,,,,,,,,
31/12/2007,14.3,52+,"2,173,205",56.40%,"1,680,631","434,180",11.30%,3.85,-,,,,,,,,,,,,,,,,
31/01/2008,12.3,52+,"2,151,167",61.30%,"1,359,270","306,034",8.70%,3.51,-,,,,,,,,,,,,,,,,
29/02/2008,10.5,52+,"2,024,628",65.00%,"1,091,445","253,955",8.10%,3.12,-,,,,,,,,,,,,,,,,
31/03/2008,9.8,51.6,"2,017,806",66.00%,"1,038,904","240,689",7.90%,3.06,-,,,,,,,,,,,,,,,,
30/04/2008,9,51.1,"2,041,274",69.40%,"898,996","225,860",7.70%,2.94,-,,,,,,,,,,,,,,,,
31/05/2008,8.1,47.4,"2,103,566",73.20%,"768,383","187,394",6.50%,2.87,-,,,,,,,,,,,,,,,,
30/06/2008,7.4,41.4,"2,126,177",77.50%,"617,159","149,029",5.40%,2.74,-,,,,,,,,,,,,,,,,
31/07/2008,6.9,35.2,"2,142,703",81.10%,"498,941","118,801",4.50%,2.64,-,,,,,,,,,,,,,,,,
31/08/2008,7.3,37.3,"2,155,168",80.50%,"520,564","140,727",5.30%,2.68,-,,,,,,,,,,,,,,,,
30/09/2008,6.8,35.8,"2,162,608",82.10%,"470,983","144,213",5.50%,2.63,-,,,,,,,,,,,,,,,,
31/10/2008,6.2,27.7,"2,104,538",85.00%,"370,308","83,601",3.40%,2.47,-,,,,,,,,,,,,,,,,
30/11/2008,6.3,26.6,"2,082,990",85.60%,"349,768","93,080",3.80%,2.43,-,,,,,,,,,,,,,,,,
31/12/2008,6.9,27.2,"1,998,655",85.20%,"347,077","79,418",3.40%,2.35,-,,,,,,,,,,,,,,,,
31/01/2009,6.7,27.1,"1,969,144",85.50%,"334,161","82,232",3.60%,2.3,-,,,,,,,,,,,,,,,,
28/02/2009,5.7,23.5,"2,013,965",87.20%,"296,357","50,678",2.20%,2.31,-,,,,,,,,,,,,,,,,
31/03/2009,5.6,23.3,"2,067,346",87.60%,"293,107","47,013",2.00%,2.36,-,,,,,,,,,,,,,,,,
30/04/2009,5.7,21.2,"2,167,437",89.60%,"250,509","31,800",1.30%,2.42,-,,,,,,,,,,,,,,,,
31/05/2009,5.7,20.5,"2,194,642",89.80%,"250,259","31,065",1.30%,2.44,-,,,,,,,,,,,,,,,,
30/06/2009,5.6,19.7,"2,246,375",90.50%,"236,316","31,628",1.30%,2.48,-,,,,,,,,,,,,,,,,
31/07/2009,5.8,19.8,"2,241,908",90.30%,"239,658","32,563",1.30%,2.48,-,,,,,,,,,,,,,,,,
31/08/2009,6.1,20,"2,218,857",90.20%,"241,092","31,608",1.30%,2.46,-,,,,,,,,,,,,,,,,
30/09/2009,5.9,20,"2,191,974",90.30%,"236,718","31,756",1.30%,2.43,-,,,,,,,,,,,,,,,,
31/10/2009,5.7,19.6,"2,147,615",90.40%,"228,745","23,388",1.00%,2.38,-,,,,,,,,,,,,,,,,
30/11/2009,5.7,19.6,"2,114,966",90.50%,"222,609","21,619",0.90%,2.34,-,,,,,,,,,,,,,,,,
31/12/2009,6.5,20,"2,128,078",90.00%,"237,238","20,792",0.90%,2.37,-,,,,,,,,,,,,,,,,
31/01/2010,6.5,20.3,"2,075,443",89.60%,"239,617","20,737",0.90%,2.32,-,,,,,,,,,,,,,,,,
28/02/2010,5.3,19.7,"2,109,462",90.30%,"227,636","18,681",0.80%,2.34,-,,,,,,,,,,,,,,,,
31/03/2010,5.2,18.9,"2,205,542",91.10%,"214,983","18,494",0.80%,2.42,-,,,,,,,,,,,,,,,,
30/04/2010,5.6,19,"2,290,852",91.30%,"217,643","21,098",0.80%,2.51,-,,,,,,,,,,,,,,,,
31/05/2010,5.5,18.1,"2,364,484",91.90%,"209,411","18,458",0.70%,2.57,-,,,,,,,,,,,,,,,,
30/06/2010,5.7,18.6,"2,347,510",91.40%,"221,588","18,221",0.70%,2.57,-,,,,,,,,,,,,,,,,
31/07/2010,5.8,19.2,"2,413,409",90.80%,"243,205","19,585",0.70%,2.66,-,,,,,,,,,,,,,,,,
31/08/2010,6.2,19.9,"2,391,511",90.10%,"263,389","20,855",0.80%,2.65,-,,,,,,,,,,,,,,,,
30/09/2010,6,19.6,"2,341,244",90.40%,"249,726","13,442",0.50%,2.59,-,,,,,,,,,,,,,,,,
31/10/2010,5.9,19.8,"2,320,939",90.20%,"250,880","14,254",0.60%,2.57,-,,,,,,,,,,,,,,,,
30/11/2010,5.9,20.1,"2,274,528",90.00%,"252,264","13,568",0.50%,2.53,-,,,,,,,,,,,,,,,,
31/12/2010,6.9,21.5,"2,135,754",88.60%,"275,539","14,671",0.60%,2.41,-,,,,,,,,,,,,,,,,
31/01/2011,6.5,21.6,"2,093,487",88.30%,"276,098","14,222",0.60%,2.37,-,,,,,,,,,,,,,,,,
